LMS Project - All Tasks by Phase (with Time and Status)
Generated: 2025-02-15

SUMMARY
Metric,Value
Total Tasks,59
Completed,36
Not Done Until Now,23
Total Time (hours),52.5
Remaining Time (hours),25.25

TASK LIST
Task ID,Task Name (EN),Task Name (AR),Phase,Est. Time (min),Time (hours),Priority,Status,Not Done?
T008,Create Subscription Plans Index View,إنشاء صفحة قائمة الباقات,Phase 1 - Plans,120,2,High,To Do,Yes
T009,Create Plan Edit Modal/Form,إنشاء نموذج تعديل الباقة,Phase 1 - Plans,90,1.5,High,To Do,Yes
T010,Create Plan Show/Details View,إنشاء صفحة تفاصيل الباقة,Phase 1 - Plans,90,1.5,High,To Do,Yes
T011,Add Subscriptions Section to Sidebar,إضافة قسم الاشتراكات للقائمة الجانبية,Phase 1 - Plans,30,0.5,High,To Do,Yes
T012,Create SubscriptionPlanSeeder,إنشاء بذار الباقات الافتراضية,Phase 1 - Plans,60,1,High,To Do,Yes
T013,Run SubscriptionPlanSeeder,تشغيل بذار الباقات,Phase 1 - Plans,15,0.25,High,To Do,Yes
T014,Add Renew Method to SubscriptionApiController,إضافة طريقة التجديد لـ API الاشتراك,Phase 1 - Plans,60,1,High,To Do,Yes
T047,Create Release Affiliate Commissions Command,إنشاء أمر إطلاق عمولات التسويق بالعمولة,Phase 7 - Affiliate,45,0.75,High,Complete,No
T048,Create Pricing Tables Migration,إنشاء ترحيل جداول التسعير,Phase 8 - Pricing,45,0.75,High,Complete,No
T049,Create Pricing Models,إنشاء نماذج التسعير,Phase 8 - Pricing,60,1,High,Complete,No
T050,Create PricingService,إنشاء خدمة التسعير,Phase 8 - Pricing,90,1.5,High,Complete,No
T051,Modify Subscription API for Localized Prices,تعديل واجهة الباقات للأسعار المحلية,Phase 8 - Pricing,60,1,High,To Do,Yes
T052,Create SupportedCurrencySeeder,إنشاء بذار العملات المدعومة,Phase 8 - Pricing,45,0.75,High,To Do,Yes
T053,Add Admin UI for Country Pricing,إضافة واجهة تسعير الدول للباقات,Phase 8 - Pricing,120,2,High,To Do,Yes
T054,Run Pricing Migrations and Seeder,تشغيل ترحيلات وبذار التسعير,Phase 8 - Pricing,15,0.25,High,To Do,Yes
T055,Create KashierCheckoutService,إنشاء خدمة دفع Kashier,Phase 9 - Kashier,150,2.5,High,Complete,No
T056,Register Kashier in PaymentFactory,تسجيل Kashier في مصنع الدفع,Phase 9 - Kashier,30,0.5,High,Complete,No
T057,Create Kashier Webhook Handler,إنشاء معالج ويب هوك Kashier,Phase 9 - Kashier,120,2,High,Complete,No
T058,Add Kashier Settings to Admin,إضافة إعدادات Kashier للأدمن,Phase 9 - Kashier,60,1,High,Complete,No
T059,Modify Subscription Flow for Kashier,تعديل تدفق الاشتراك لاستخدام Kashier,Phase 9 - Kashier,120,2,High,Complete,No
T060,Register Kashier Webhook Route,تسجيل مسار ويب هوك Kashier,Phase 9 - Kashier,15,0.25,High,Complete,No
T061,Update Permission Seeder for Supervisor Role,تحديث بذار الصلاحيات لدور المشرف,Phase 10 - Supervisor,60,1,High,Complete,No
T062,Rename Instructor to Supervisor in UI,إعادة تسمية المدرب إلى المشرف في الواجهة,Phase 10 - Supervisor,45,0.75,High,To Do,Yes
