Task ID,Task Name (EN),Task Name (AR),Description (EN),Description (AR),Phase,Est. Time (min),Priority,Status
T047,Create Release Affiliate Commissions Command,إنشاء أمر إطلاق عمولات التسويق بالعمولة,"Create artisan command 'affiliate:release-commissions' that calls AffiliateService::releaseCommissions(). Output: Released {count} commissions. Run daily via scheduler.","إنشاء أمر Artisan لإطلاق العمولات المعلقة عند وصول تاريخ الإتاحة. يُشغّل يومياً عبر المجدول.",Phase 7 - Affiliate,45,High,Complete
T048,Create Pricing Tables Migration,إنشاء ترحيل جداول التسعير,"Create migration for supported_currencies and subscription_plan_prices. Unique on (plan_id, country_code).","إنشاء ترحيل لجداول العملات المدعومة وأسعار الباقات حسب الدولة.",Phase 8 - Pricing,45,High,Complete
T049,Create Pricing Models,إنشاء نماذج التسعير,"Create SupportedCurrency and SubscriptionPlanPrice models. Add countryPrices() hasMany to SubscriptionPlan.","إنشاء نماذج SupportedCurrency و SubscriptionPlanPrice مع العلاقات.",Phase 8 - Pricing,60,High,Complete
T050,Create PricingService,إنشاء خدمة التسعير,"Create PricingService with getPriceForCountry(), detectUserCountry(), convertToEgp(). Use GeoLocationService for IP detection.","إنشاء خدمة التسعير مع كشف الدولة وتحويل العملات.",Phase 8 - Pricing,90,High,Complete
T051,Modify Subscription API for Localized Prices,تعديل واجهة الباقات للأسعار المحلية,"In getPlans() detect country and return display_price, display_currency, display_symbol per plan using PricingService.","تعديل API الباقات لإرجاع الأسعار بعملة المستخدم المحلية.",Phase 8 - Pricing,60,High,To Do
T052,Create SupportedCurrencySeeder,إنشاء بذار العملات المدعومة,"Seed EG (EGP), SA (SAR), AE (AED), US (USD) with initial exchange rates. Admin can update later.","إنشاء بذار للعملات: مصر، السعودية، الإمارات، أمريكا.",Phase 8 - Pricing,45,High,To Do
T053,Add Admin UI for Country Pricing,إضافة واجهة تسعير الدول للباقات,"On plan edit page add 'Country Prices' section with table: country, currency, price input. Save via AJAX.","إضافة قسم أسعار الدول في صفحة تعديل الباقة.",Phase 8 - Pricing,120,High,To Do
T054,Run Pricing Migrations and Seeder,تشغيل ترحيلات وبذار التسعير,"Execute php artisan migrate and db:seed for pricing tables.","تشغيل ترحيلات وبذار جداول التسعير.",Phase 8 - Pricing,15,High,To Do
T055,Create KashierCheckoutService,إنشاء خدمة دفع Kashier,"Implement PaymentGatewayContract. Methods: createCheckoutSession(), verifyPayment(), getPaymentStatus(). Use settings: kashier_merchant_id, kashier_api_key, kashier_webhook_secret.","إنشاء خدمة دفع Kashier مع إنشاء جلسة الدفع والتحقق من الويب هوك.",Phase 9 - Kashier,150,High,To Do
T056,Register Kashier in PaymentFactory,تسجيل Kashier في مصنع الدفع,"Add case 'kashier' in PaymentFactory to return KashierCheckoutService instance.","إضافة Kashier في PaymentFactory.",Phase 9 - Kashier,30,High,To Do
T057,Create Kashier Webhook Handler,إنشاء معالج ويب هوك Kashier,"Create KashierController::handleWebhook() - verify signature, process payment, activate subscription, create SubscriptionPayment. Route: POST /webhooks/kashier.","إنشاء معالج ويب هوك للتحقق من الدفع وتفعيل الاشتراك.",Phase 9 - Kashier,120,High,To Do
T058,Add Kashier Settings to Admin,إضافة إعدادات Kashier للأدمن,"Add kashier_merchant_id, kashier_api_key, kashier_webhook_secret, kashier_mode to SettingsController and settings view.","إضافة حقول إعدادات Kashier في لوحة التحكم.",Phase 9 - Kashier,60,High,To Do
T059,Modify Subscription Flow for Kashier,تعديل تدفق الاشتراك لاستخدام Kashier,"In subscribe(): check wallet first, deduct, then create Kashier checkout for remainder. Add walletAndGatewayPayment() logic.","دمج محفظة المستخدم مع Kashier للدفع الكامل أو الجزئي.",Phase 9 - Kashier,120,High,To Do
T060,Register Kashier Webhook Route,تسجيل مسار ويب هوك Kashier,"Add POST /webhooks/kashier route. Exclude from CSRF middleware.","تسجيل مسار ويب هوك Kashier واستثناؤه من CSRF.",Phase 9 - Kashier,15,High,To Do
T061,Update Permission Seeder for Supervisor Role,تحديث بذار الصلاحيات لدور المشرف,"Add permissions: manage_accounts, manage_courses, upload_courses, manage_subscriptions, manage_finances, approve_comments, approve_ratings, manage_affiliates, manage_settings, manage_plans, view_reports. Create Supervisor (مشرف) role.","إضافة صلاحيات جديدة ودور المشرف في البذار.",Phase 10 - Supervisor,60,High,To Do
T062,Rename Instructor to Supervisor in UI,إعادة تسمية المدرب إلى المشرف في الواجهة,"Update sidebar, instructor views, InstructorController page titles. Change 'Instructors' to 'Supervisors' / 'المشرفين'. Keep DB/route names.","تحديث النصوص في الواجهة من المدرب إلى المشرف.",Phase 10 - Supervisor,45,High,To Do
T063,Create Admin UI for Role Permission Assignment,إنشاء واجهة تعيين الصلاحيات,"Add permission checkboxes in staff/user edit view. Save via Spatie assignRole() and givePermissionTo().","إضافة واجهة تعيين الصلاحيات عند تعديل المشرف.",Phase 10 - Supervisor,90,High,To Do
T064,Add Permission Checks to Admin Controllers,إضافة فحوصات الصلاحيات للمتحكمات,"Add middleware/can checks: CoursesController→manage_courses, UserController→manage_accounts, WalletController→manage_finances, etc.","إضافة فحص الصلاحيات في متحكمات الأدمن.",Phase 10 - Supervisor,60,High,To Do
T065,Run Permissions Seeder,تشغيل بذار الصلاحيات,"Execute php artisan db:seed --class=RolePermissionSeeder.","تشغيل بذار الصلاحيات والأدوار.",Phase 10 - Supervisor,15,High,To Do
T066,Create Approval Fields Migration,إنشاء ترحيل حقول الموافقة,"Add to ratings: status (pending/approved/rejected), reviewed_by, reviewed_at. Same for course_discussions table.","إضافة حقول الموافقة لجدولي التقييمات والمناقشات.",Phase 11 - Approval,45,High,To Do
T067,Update Rating Model for Approval,تحديث نموذج التقييم للموافقة,"Add status, reviewed_by, reviewed_at to fillable. Add scopeApproved() and scopePending() scopes.","تحديث نموذج Rating بحقول الموافقة والنطاقات.",Phase 11 - Approval,30,High,To Do
T068,Update CourseDiscussion Model for Approval,تحديث نموذج المناقشة للموافقة,"Same as Rating: add status, reviewed_by, reviewed_at; scopes approved/pending.","تحديث نموذج CourseDiscussion بحقول الموافقة.",Phase 11 - Approval,30,High,To Do
T069,Modify Public API to Filter by Approval,تعديل API العام لتصفية حسب الموافقة,"In RatingApiController and CourseDiscussionApiController: when feature flag enabled, filter by ->approved(). New submissions default to pending.","تصفية التقييمات والمناقشات حسب الموافقة عند تفعيل الميزة.",Phase 11 - Approval,60,High,To Do
T070,Create Admin ApprovalController,إنشاء متحكم موافقة الأدمن,"Methods: pendingRatings(), approveRating(), rejectRating(), pendingComments(), approveComment(), rejectComment().","إنشاء متحكم لإدارة الموافقة على التقييمات والمناقشات.",Phase 11 - Approval,90,High,To Do
T071,Register Approval Admin Routes,تسجيل مسارات موافقة الأدمن,"Routes: GET/POST /api/admin/reviews/pending, approve, reject. Same for comments. Permission: approve_comments, approve_ratings.","تسجيل مسارات API للموافقة على التقييمات والتعليقات.",Phase 11 - Approval,30,High,To Do
T072,Create Admin Approval UI,إنشاء واجهة موافقة الأدمن,"Create admin/approvals/index.blade.php with tabs for Ratings and Comments. Approve/Reject buttons. Sidebar link.","إنشاء صفحة الموافقة مع تبويبات للتقييمات والتعليقات.",Phase 11 - Approval,90,High,To Do
T073,Run Approval Migration,تشغيل ترحيل الموافقة,"Execute php artisan migrate for approval fields.","تشغيل ترحيل حقول الموافقة.",Phase 11 - Approval,15,High,To Do
T074,Create Marketing Pixels Table Migration,إنشاء ترحيل جدول بكسل التسويق,"Table marketing_pixels: platform (enum), pixel_id, is_active, additional_config. Unique on platform. Platforms: hotjar, microsoft_clarity, google_tag_manager, facebook, tiktok, snapchat, instagram.","إنشاء جدول بكسل التسويق للربط مع منصات التحليلات.",Phase 12 - Marketing,30,Medium,To Do
T075,Create MarketingPixel Model,إنشاء نموذج بكسل التسويق,"Fillable: platform, pixel_id, is_active, additional_config. Scope: scopeActive().","إنشاء نموذج MarketingPixel مع النطاقات.",Phase 12 - Marketing,30,Medium,To Do
T076,Create Admin MarketingPixelController,إنشاء متحكم بكسل التسويق للأدمن,"Methods: index(), store(), destroy(). Validate platform and pixel_id. updateOrCreate by platform.","إنشاء متحكم إدارة بكسل التسويق.",Phase 12 - Marketing,60,Medium,To Do
T077,Create Public API for Active Pixels,إنشاء API عام للبكسل النشط,"getActivePixels() returns MarketingPixel::active(). Cache 60 seconds. No auth required.","إنشاء API لإرجاع البكسل النشط مع التخزين المؤقت.",Phase 12 - Marketing,45,Medium,To Do
T078,Register Marketing Pixel Routes,تسجيل مسارات بكسل التسويق,"Admin: GET/POST/DELETE /marketing-pixels. Public: GET /api/marketing-pixels/active.","تسجيل مسارات إدارة وعرض البكسل.",Phase 12 - Marketing,30,Medium,To Do
T079,Create Admin Marketing Pixels View,إنشاء واجهة إدارة البكسل,"Table with Platform, Pixel ID, Status toggle, Delete. Form: platform dropdown, pixel_id input. Sidebar link.","إنشاء صفحة إدارة بكسل التسويق في لوحة التحكم.",Phase 12 - Marketing,90,Medium,To Do
T080,Run Marketing Pixels Migration,تشغيل ترحيل بكسل التسويق,"Execute php artisan migrate for marketing_pixels table.","تشغيل ترحيل جدول البكسل.",Phase 12 - Marketing,15,Medium,To Do
T081,Extend SubscriptionPlanController for Full CRUD API,توسيع متحكم الباقات لـ CRUD كامل,"Add toggle(), updateSortOrder(), setCountryPrices() methods. Verify index, create, store, edit, update, destroy.","إضافة طرق التبديل والترتيب وأسعار الدول للمتحكم.",Phase 13 - Plan API,90,High,To Do
